base,1,2,3,4,5,6,7,8,9,10
jaime-sabines-yo-no-lo-se-de-cierto,jaime-sabines-los-amorosos,jaime-sabines-los-dias-inutiles,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-pasa-el-lunes,alejandra-pizarnik-han-venido,alejandra-pizarnik-hijas-del-viento,mario-benedetti-amor-de-tarde,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-tlaltelolco-68
alfonsina-storni-date-a-volar,alfonsina-storni-anda-date-a-volar-hazte-una-abeja,alfonsina-storni-frente-al-mar,alfonsina-storni-el-divino-amor,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-la-invitacion-amable,alfonso-reyes-morir,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte
jaime-sabines-esta-manana-imagine-mi-muerte,catulo-el-varo-a-mi-mio-a-sus-amores,cesar-vallejo-me-morire-en-paris-con-aguacero,cesar-vallejo-piedra-negra-sobre-una-piedra-blanca,cesar-vallejo-los-nueve-monstruos,mario-benedetti-a-la-izquierda-del-roble,alfonso-reyes-los-caballos,cesar-vallejo-epistola-a-los-transeuntes,mario-benedetti-buenos-dias-gabriel,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,cesar-vallejo-la-rueda-del-hambriento
alfonso-reyes-no-es-cuba-donde-el-mar-disuelve-el-alma,alfonso-reyes-la-habana,alfonso-reyes-no-aqui-la-tierra-triunfa-y-manda,alfonso-reyes-veracruz,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-los-caballos,cesar-vallejo-mayo,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonsina-storni-sabado
vicente-huidobro-solitario-invencible,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-invierno-para-beberlo,vicente-huidobro-viajero,vicente-huidobro-poema-funerario,vicente-huidobro-18,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-el-paso-del-retorno
cesar-vallejo-al-fin-de-la-batalla,cesar-vallejo-masa,cesar-vallejo-los-pasos-lejanos,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonso-reyes-los-caballos,alfonsina-storni-el-clamor,alfonsina-storni-al-oido,cesar-vallejo-donde-nunca-llegaremos,alejandra-pizarnik-noche,alejandra-pizarnik-tal-vez-esta-noche-no-es-noche,alfonso-reyes-visitacion
alejandra-pizarnik-escucho-resonar-el-agua-que-cae-en-mi-sueno,alejandra-pizarnik-lobscurite-des-eaux,alejandra-pizarnik-sous-la-nuit,alejandra-pizarnik-los-ausentes-soplan-grismente-y-la-noche-es-densa,vicente-huidobro-fatiga,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-18,cesar-vallejo-la-copa-negra,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar
alfonsina-storni-lo-inacabable,alfonsina-storni-bajo-tus-miradas,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-viajero,alfonsina-storni-el-cisne-enfermo,cesar-vallejo-absoluta,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,cesar-vallejo-desnudo-en-barro,vicente-huidobro-balada-de-lo-que-no-vuelve
cesar-vallejo-mayo,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonso-reyes-glosa-de-mi-tierra,alfonso-reyes-morir,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,cesar-vallejo-yeso,cesar-vallejo-desnudo-en-barro,alfonsina-storni-el-sueno,cesar-vallejo-romeria,cesar-vallejo-sauce
catulo-vivamos-mi-lesbia-y-amemos,cesar-vallejo-los-nueve-monstruos,catulo-preguntas-cuantos-a-mi-besares,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,catulo-pobre-catulo-que-dejes-de-hacer-lo-indebido,cesar-vallejo-el-pan-nuestro,alfonsina-storni-soy-suave-y-triste-si-idolatro-puedo,alfonsina-storni-soy,alfonso-reyes-morir,alfonsina-storni-queja,tirso-de-molina-versos-de-novela-cortesana
alejandra-pizarnik-12,alejandra-pizarnik-no-mas-las-dulces-metamorfosis-de-una-nina-de-seda,vicente-huidobro-aqui-estamos,vicente-huidobro-18,alfonsina-storni-lo-inacabable,cesar-vallejo-mayo,alfonsina-storni-baja-del-cielo-la-endiablada-punta,alfonsina-storni-razones-y-paisajes-de-amor,alejandra-pizarnik-a-la-espera-de-la-oscuridad,alejandra-pizarnik-ese-instante-que-no-se-olvida,vicente-huidobro-estrella-hija-de-estrella
cesar-vallejo-el-poeta-a-su-amada,cesar-vallejo-amada-en-esta-noche-tu-te-has-crucificado,alfonsina-storni-dulce-y-sombrio,alfonsina-storni-la-invitacion-amable,cesar-vallejo-yeso,alfonsina-storni-indolencia,alfonsina-storni-a-pesar-de-mi-misma-te-amo-eres-tan-vano,cesar-vallejo-avestruz,alfonsina-storni-queja,alfonsina-storni-soy-suave-y-triste-si-idolatro-puedo,alfonsina-storni-soy
alfonsina-storni-una,alfonsina-storni-esta-tarde,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-dulce-y-sombrio,jaime-sabines-miss-x,vicente-huidobro-el-celebre-oceano,alfonsina-storni-noche-divina,alfonsina-storni-el-sueno,alfonsina-storni-espera,alfonsina-storni-baja-del-cielo-la-endiablada-punta
catulo-pajarito-delicias-de-mi-nina,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,catulo-planid-oh-las-venus-y-los-deseos,tirso-de-molina-amor-hoy-como-astuto-me-aconsejas,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,catulo-pobre-catulo-que-dejes-de-hacer-lo-indebido,catulo-preguntas-cuantos-a-mi-besares,alfonso-reyes-morir,catulo-flavio-las-delicias-tuyas-a-catulo,tirso-de-molina-falsa-amistad-ladron-disimulado
emily-dickinson-certidumbre,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,cesar-vallejo-verano,tirso-de-molina-coplas,vicente-huidobro-estrella-hija-de-estrella,cesar-vallejo-donde-nunca-llegaremos,mario-benedetti-un-padre-nuestro-latinoamericano,alfonso-reyes-morir,alfonso-reyes-los-caballos,alfonso-reyes-el-descastado
alejandra-pizarnik-la-mano-de-la-enamorada-del-viento,alejandra-pizarnik-caroline-de-gundorode,alfonsina-storni-el-cisne-enfermo,vicente-huidobro-poema-funerario,jaime-sabines-miss-x,vicente-huidobro-18,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,vicente-huidobro-monumento-al-mar,alejandra-pizarnik-cantora-nocturna,alejandra-pizarnik-la-que-murio-de-su-vestido-azul-esta-cantando,vicente-huidobro-estrella-hija-de-estrella
emily-dickinson-bueno-es-sonar-despertar-es-mejor,mario-benedetti-a-la-izquierda-del-roble,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-a-tientas,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,jaime-sabines-pasa-el-lunes,vicente-huidobro-senora,alejandra-pizarnik--y-si-nos-vamos-anticipando,alejandra-pizarnik-mucho-mas-alla,alfonsina-storni-capricho-2
jaime-sabines-que-putas-puedo,alejandra-pizarnik--y-si-nos-vamos-anticipando,alejandra-pizarnik-mucho-mas-alla,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-te-quiero-porque-tienes,jaime-sabines-pasa-el-lunes,cesar-vallejo-la-rueda-del-hambriento,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,alejandra-pizarnik-tal-vez-esta-noche-no-es-noche,alejandra-pizarnik-noche
