,author,poem,keywords
41,alfonso-reyes,La tonada de la sierva enemiga,triste encienda trinada hilarlo cancioncita desafinada recuerdo ahogados ronca temor bárreles hoy anhelos fieros sorda tanta imaginaciones dolor barrerla paciencia disimulación copo traidor casa huso mansa ventura reto madre velas voz hurtos sencilla finas rumor representas limar palabras me su espaldas labor hílales vidas miradas viento rebelión desahogos canción esclava
42,alfonso-reyes,Los caballos,volandas cruzaba polvorín montara vilezas tapatío versero pobre llenaron espuelas pónmele largamente suyos regesaba guardaron lucero mutilado atravesaba ratos brioso rienda despertarme apenas atados pasito cabestro rasposas confunden almartirgón torpes quiso destreza metralla alcoba reliquia risa galope cuidaba puerta manchado cabriolé casa argolla abría sujetaba mañas parque suelta paseo refranes
43,alfonso-reyes,Morir,susurraba piedad besaba lamentos contento amenguaba siento estoico reclina voy carmín ternura dormido blanco sentir novedad roza vamos muelle ala sutil conciencia tan persuasión temores su venir ansioso me feliz blanda abrir cuando natural cariñoso dejarse mansa siquiera lento áspid mis morir toda esa arco algo tantos ir vida naturaleza
44,alfonso-reyes,Apenas,suspira desborda recuerdo efluvio vaga cede mísera baja silencio me somos delgada aroma resolana cuando callada alma repente poco suelo una tu sube como que a cedro fuente sueño secreto cosa del un veces hecho la en de disolución nada razón el NaN NaN NaN NaN NaN NaN NaN NaN
45,alfonso-reyes,No es Cuba donde el mar disuelve el alma,bochorno yanqui zumban ñañigo marimbas sones abanicando brisa picasso disimulan cocos montero sorbiendo rumbero blanco colonial vestidos guinda desinfecta tarde aguijón amarillo fragancia mangos vencidos su sonrisa luces disuelve revolucionario gaugin entierro concertar transparenta veterana contratista malecón aduaneros stravisnsky despojos güiros dos pensamientos granizados nunca cuba ojos ya aire alma
46,alfonso-reyes,No aquí la tierra triunfa y manda,bombean menjurjes echarse pasea ahuyentan triunfa hablarse pisadas vagan proal manchan relumbrantes vara sombras dentaduras sienes mozos danzan ventana sandalias negro cívicas azul cabellera aletazos juntas esponjas gañido rojo descalzo barridas reviven adentro manda clerical cordel canarias entresoñado cabo tinta cráneos trueno flautas cobres langostas asno errante cargan camisa sombrero
47,alfonso-reyes,Caravana,aprestaba lacrimosas giraban lumbrarada leños crepúsculos barbas hoy arrullo acarreaban sellaban matinal colgados encendían batía tortillas bastones ácidas ensartados jarros dormido acariciaban corderos rosas astas picas muchachas libaciones palmas viejos lomos tuvimos madrugada pechos amistades caballo aderezando honda mordían campamento sacrificio su olorosos noticia cigarros alfombras lavarse todos largos palanganas
48,alfonso-reyes,Veracruz,bombean menjurjes echarse pasea ahuyentan triunfa hablarse pisadas vagan proal manchan relumbrantes vara sombras dentaduras sienes mozos danzan ventana sandalias negro cívicas azul cabellera aletazos juntas esponjas gañido rojo descalzo barridas reviven adentro manda clerical cordel canarias entresoñado cabo tinta cráneos trueno flautas cobres langostas asno errante cargan camisa sombrero
49,alfonso-reyes,La amenaza de la flor,tiemblo amanezca arrebol rubor exageras mano adormideras engáñame pintas engañas exhalas negras aroma me quieras día tu flor ojeras pestañas alma una al puesta tú mujer que con vuelvas como en sólo te un cuánto tenía de la sol no parecía extremas porque también mía y se el las ver
50,alfonso-reyes,Quédate callado,exagera recobra casi aprovechas cantas querer dormido pagado pechas rosa alcance rama inerte latidos montones efectos hurtos todo huelga ceguera debes vellón cuelga canción sentido verdadera da tu al panteón callado oro lo sobra cambiado vale gasto solo que moneda ningún peciolo fruto has por aunque a sólo en del
51,alfonso-reyes,A Cuernavaca,murmura tibieza deliro aplaca suspiro inspiro urraca desaliento quietud aliento vuela voy fingimiento dulce suspende apura hartura hondura pausa sienes veleidad auras disfrutar trina sosiego mansa soledad pregunto mi solazas respiro reposo laurel aspiro cedo si breve básteme realidad cuando intento luz interrumpir ii me cuernavaca cordial beata mis tiempo
52,alfonso-reyes,La señal funesta,arranco muerto alzo ayer voy azada daréis dicen juzga diligencia preguntarlo mano cobro vehemencia paciencia traer filosofías olvido si sabes hartura cansa mi primavera perdido pide darme cuando tesoro flojedad retoños suelte fatiga lectura punto me envejeciendo señalada hora vivo brote otro sinecura cada amada ii cotidiano pierdo surco invertido
53,alfonso-reyes,Es Toledo ciudad eclesiástica,plácidamente codonate escusadas diacitrón arrulla sazón aguardiente chorrea casi alcázar insólita rosado confunda antojo confitero vicioso amargas cominada transparente roseta virgen mazapán vinillo caridades mansalva aroma toca luzbel verdad terror gusto figura mas excusadas su hay canela maña nueces vendas sola buen acíbar cielo si negras arrebola me claro hacedor
54,vicente-huidobro,Alerta,estallan sombra agujerean sirenas cantan vuelan clarín luna aeroplanos cielo rosas apagar calles olas tiemblan maduras torno negras ahora viento estrella apaga noche otto zeppelín victoria cada llama canciones von bombas tu estanque pipa cortadas sobre cien ruido media que como acerca coche cortisona días en la un jardín entre
55,vicente-huidobro,Sobre la nieve se oye resbalar la noche,mecen silbando inundo gime muerto humea resbalar mi oye encendí nidos olas labios viento voces alas noche abro mis orilla cada estrella daban nubes canción miro nieve mástiles llenos que niebla vez puerto dedos yo mirada una pájaros sobre navío caía están la entre en de árboles vacío tras cigarro
56,vicente-huidobro,Monumento al mar,lloramos martirizada llanto olvidados maldices renace temblorosas despierta pisoteado neblina arrastramos naufragados aferra lloras iracundas inagotable milenaria enmohezcan tose tembloroso milenario cantemos arrastran rumiando torbellino encrucijadas ola eterno llorar envuelve escondes esperando tenebrosas saludando apenas sangre oigas dulce alegres pensativo angustia lápida soy dormido saluda arranquen amor sufres molde dolor
57,vicente-huidobro,Me alejo en silencio,cantan ternuras plegarias bello seda paseante soy colonial dormir bajo envuelto navegante horizonte cantos vamos lluvia volar ahogo cubierto me cinta silencio nombre todos todo plantaciones noche mis esos tu alejo islas estaciones parece antes forman parecido era agua en una como a mar que está árbol cuatro reloj algodón
58,vicente-huidobro,Fatiga,neblina acaricio grita cantar gritos desolado sangre esfinges cielo claveles marcho mi sed pedazos vientos mano sombrero viento gestos noche semanas torno fatiga asiento rompo parque me miro lleno luces tomo canto luz paso herido casas mis su lomo día ojos apoya sobre alma meses cuando pasan gira eje paloma
59,vicente-huidobro,Horas,tiembla florecido caen charco arboleda desangra sordas duermen horas maduras cuelga viva viento cada llano noche vida gotera cuando estrellas campanario tren sobre villorio una al agua detenido cortinaje en un la de y el las NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
60,vicente-huidobro,Solitario invencible,suspiras convences temblorosos amarguras resbalando dormido tragarte claveles esperanza ansia callar hambre habladoras torno mano cerrar luz hielos vas fuego su silencio cuando vuelves quieres nieve tu pero emitir esos estrellas hipótesis vida ti sueño ausencia entero universo gira tantas mucha mucho ojos eje especial da van una campos después
61,vicente-huidobro,Poema funerario,encienden envejecidas suspiros apartan negro llave camino encanto horas aleja instructivo zumbido torno bajo mudado partes impaciente impulsado voz aguzada paso mi pasar viajes alfombrado tempestad lluvia estrella viento aparejad recuerdos celeste dime vuestro noche pasaje naufragios viaje lujo su perdido nosotros bolsillos vuelves tu hacen coser hay primordial instrumento
62,vicente-huidobro,La vida es sueño,posan caen sangre doloridos dolorida rama princesas horas astros olas viejos alas muertas saltando hacia quieren voz su hora ojos hojas huir noche llega gemelas día corbatas sus cuando quiere rotas andan enanos todas sobre pasan cae como hablar que con la de en son ojo minuto igual no los
63,vicente-huidobro,Invierno para beberlo,golondrinas cuelgan alejemos ocaso astrológicas arcoiris petrificados abanico calentad lejanos suspiros lentamente teme estrujan crepitar dormido sacudiendo rincones ultratumba trayendo arrastra mariposas camino oíd termómetro lluvia aguardiente peina emigran bajo cielo pecho brota cae gusto desliza siguiendo mi violines viento copos adormezco ahora avenidas salón hacia sonido mojado silencio vegetal
64,vicente-huidobro,Estrella hija de estrella,tiembla envuelta apresuraste palpitan triste presienten mirtos vibra desatadas milenario pronto dormiladas suyo eterno cantar aliento invencibles aguardaba dulce asustaba infinitos sonidos sorprendida anhelos yergue músicas mirar azul belleza acaso peligro ciego gérmenes anudan ella calle tempestades ruidos mi misteriosa cansado pasos encarna corazones profundo entornan exaltación camino suaves cielo
65,vicente-huidobro,Ilusiones perdidas,sombra ilusiones apresurada arrastran malherida dulce prontas olvido embrujadas naufragio ópticas relámpagos nudo podredumbre fuego juguete visuales calefaccionables doliente inolvidable esperanzas infancia su excesos muerte detenidas barco sangrando águilas aguas constante hojas sus aire propios brazos ramas como árbol a cabeza entre en adónde la hoja del te palacio rodillas
66,vicente-huidobro,Hija,tierna negrura dulce alegrando desprenden recuerdo pasado retrato formas silencio miradas oh selva rostro facilidad tu miseria umbral mis mueren vuelves ojos manos anillo sueño aire hojas tengo con te gota hace frío mundo como a qué en la entre del de lámpara y el se las NaN NaN NaN
67,vicente-huidobro,Aquí estamos,entregándose humildemente suspira murmullo sombra lumbre despierta sepulcro huñida incógnitos obscuros confiada caverna sacrificado lazos sacrificada vidente recuerdo adentro chispa cúspide esperanza corazones rincones virginal regalados espera suceso acento asustados vuelo su buscado madre noche terror anuncios fluidos interminable salida venir alta alas tanta repentino viento principio hondura vida reconocido
68,vicente-huidobro,El célebre océano,mirad cruje veo aduerme volved muerto mirar pronto saluda llevad casaca calle oye casa muriente cielo olas ejemplar esfinges fatiga cola verde orejas voces bate estruja batidos esto su virutas plegaria luz tan miran día casto natural cepillar cada vientre conducta seca confortable muerte cartas maltratado alambre mueren contra ojos
69,vicente-huidobro,Señora,palpitantes ruiseñor bello voy insospechados burlando ocaso ligero lejos fondo voz lluvia lleno espacio me nervios setiembre demasiados todo noche miradas tan hay selva turistas vigilancia piano arpegios amáis hacia vida cloroformo artista informa cuerpo estrellas libélulas pájaros mucho globo desciendo espesa desclavado sobre sostener vuestro soporto caer atrae otoño
70,vicente-huidobro,Hasta cuando sangrarán la vida,golondrinas florecen primavera luna ala herida su nido embargo encinas borde al sobre mundo una hizo viene en la misma del tiene vacío sin medio sino corazón no el y las NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
71,vicente-huidobro,Para llorar,lagrimas escondemos bebemos respiramos apagamos desvestida cruje apuntamos llorar arriba suspiro milagro ardiente apreciamos bajo nuestro pecho aniversario cabellera camino voz brota novia abandonamos hueco cielo fondo suavemente tarde lleno astros rostros impaciencia fantasma mente voces cuna amargos abrimos ciegos abre nuestra lenta tan enterrar mueven poder gloria tempestad noche
72,vicente-huidobro,El espejo de agua,aletea ahogaron ruiseñor sonámbulos duerme espejo profundo mi aleja veréis rosa pecho ebrio cantando bajo popa olas ensueños verde anclada dedo mis cuarto me cisnes todos estanque orbe secreta cielos noches tu que muralla siempre alejan pie una sus sobre corriente desnudez hincha arroyo un como por más en hace
73,vicente-huidobro,Sombra,ruiseñor sombra camino aleja balas mi todas queja playas sobre pedazo memoria batallas que otras en un la de canta es se las NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
74,vicente-huidobro,Balada de lo que no vuelve,tristemente lloran gimen cabellos olvidados mirad llorando murmullo enloquecido sombra fatigado resplandores piedad inconsolable muerto impalpable desesperado brumas misteriosas hinchan comprenderte olvidado dardos ladra deciros voy aman lejanías llorado caen mirar soy exclaman abismo dicen ensancha aquélla llamáis frondoso sangre hondor amor hombro nubarrones huella pasos eres horas oscurecido andado
75,vicente-huidobro,Arte Poética,temblando florecer llave hacedla rosa recuerdo nervios verso dios miren volando bajo mas nosotros cantáis vigor oh pasa cuelga estamos alma cuando vida verdadero mundos mata puertas tenemos fuerza algo abra nuevos oyente eso tu todas ojos poeta creado inventa solo menos ciclo da como en una por cosas cae
76,vicente-huidobro,El paso del retorno,tristemente lloran cabellos gimen olvidados mirad llorando sombra murmullo piedad desesperado silbaba muerto inconsolable resplandores impalpable fatigado brumas crepúsculo miradme misteriosas olvidado comprenderte hinchan dardos voy ladra llorado cantar vivirse deciros aman lejanías caen soy abismo sangre dicen llamáis amor aquélla exclaman hondor ensancha hombro queridos pasos acaso camino ternura
77,vicente-huidobro,Expres,támesis cenis errantes silban navegados nosdarán collar blanco encender aroma londres silbido rosa monte canción zurich jarcias horada oasis sabias corona rin viento ancla mi me adelante hacia alas marchan embarcaciones canas dátiles encontrado aspirar nápoles cubiertas estrellas muriente dominados algas apeninos recorridas roma cargados todos madrid miel haría desierto
