,base,1,2,3,4,5,6,7,8,9,10
73,jaime-sabines-los-dias-inutiles,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-los-amorosos,jaime-sabines-pasa-el-lunes,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-miss-x,vicente-huidobro-balada-de-lo-que-no-vuelve,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-el-paso-del-retorno,jaime-sabines-asi-es,jaime-sabines-mi-corazon-emprende
74,jaime-sabines-te-desnudas-igual,jaime-sabines-te-desnudas-igual-que-si-estuvieras-sola,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-me-tienes-en-tus-manos,mario-benedetti-amor-de-tarde,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-te-quiero-porque-tienes,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-estrella-hija-de-estrella,mario-benedetti-te-quiero
75,mario-benedetti-no-te-rindas,jaime-sabines-pasa-el-lunes,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,mario-benedetti-un-padre-nuestro-latinoamericano,jaime-sabines-mi-corazon-emprende,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-monumento-al-mar,vicente-huidobro-solitario-invencible,jaime-sabines-te-quiero-porque-tienes,mario-benedetti-a-la-izquierda-del-roble
76,jaime-sabines-adan-y-eva,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-tlaltelolco-68,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-pasa-el-lunes,jaime-sabines-los-dias-inutiles,jaime-sabines-tarumba,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,mario-benedetti-ngelus,mario-benedetti-un-padre-nuestro-latinoamericano
77,jaime-sabines-pequena-del-amor,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,jaime-sabines-vieja-la-noche,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,jaime-sabines-miss-x,tirso-de-molina-coplas,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,tirso-de-molina-sale-el-sol-por-el-cielo-luminoso
78,mario-benedetti-arte-poetica,mario-benedetti-que-golpee,mario-benedetti-hagamos-un-trato,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-los-dias-inutiles,mario-benedetti-un-padre-nuestro-latinoamericano,mario-benedetti-tactica-y-estrategia,tirso-de-molina-coplas,jaime-sabines-pasa-el-lunes,jaime-sabines-miss-x,tirso-de-molina-versos-de-novela-cortesana
79,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-te-quiero-porque-tienes,jaime-sabines-pasa-el-lunes,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-mi-corazon-emprende,vicente-huidobro-el-paso-del-retorno,jaime-sabines-miss-x,vicente-huidobro-estrella-hija-de-estrella,vicente-huidobro-monumento-al-mar,jaime-sabines-los-dias-inutiles,mario-benedetti-un-padre-nuestro-latinoamericano
80,tirso-de-molina-movido-de-mis-ruegos-febo-el-paso,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-no-en-balde-nino-amor-te-pintan-ciego,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,tirso-de-molina-que-confusion-enmaranados-cielos,jaime-sabines-pequena-del-amor,jaime-sabines-vieja-la-noche,tirso-de-molina-coplas,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,tirso-de-molina-del-castizo-caballo-descuidado
81,vicente-huidobro-la-poesia-es-un-atentado-celeste,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,mario-benedetti-a-la-izquierda-del-roble,jaime-sabines-pasa-el-lunes,mario-benedetti-un-padre-nuestro-latinoamericano,vicente-huidobro-estrella-hija-de-estrella,jaime-sabines-los-dias-inutiles,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-miss-x,mario-benedetti-a-tientas
82,jaime-sabines-me-tienes-en-tus-manos,jaime-sabines-te-desnudas-igual-que-si-estuvieras-sola,jaime-sabines-te-desnudas-igual,jaime-sabines-te-quiero-porque-tienes,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,jaime-sabines-mi-corazon-emprende,mario-benedetti-te-quiero,mario-benedetti-tus-manos-son-mi-caricia,vicente-huidobro-la-poesia-es-un-atentado-celeste
